City ID,city,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,country,Date
80,leningradskiy,32.25,69.3833,178.4167,92,98,8.86,RU,1655119880
81,koindu,78.76,8.4386,-10.3253,82,97,2.89,GN,1655120320
82,olafsvik,49.41,64.8945,-23.7142,95,100,15.05,IS,1655120321
83,amla,89.02,21.9333,78.1167,41,70,8.68,IN,1655120323
84,nizhniy odes,67.87,63.6445,54.856,19,6,5.37,RU,1655120324
85,qazvin,94.62,36.2797,50.0049,16,40,9.22,IR,1655120324
86,harbour breton,54.14,47.4833,-55.7983,81,76,7.65,CA,1655120325
87,arlit,110.93,18.7369,7.3853,6,2,8.68,NE,1655120244
88,yerbogachen,66.42,61.2767,108.0108,48,98,3.56,RU,1655120326
89,nome,42.87,64.5011,-165.4064,76,100,0.0,US,1655120327
90,novikovo,77.65,51.1537,37.8879,56,32,5.35,RU,1655120328
91,jabinyanah,84.0,35.035,10.9081,38,0,18.79,TN,1655120329
92,dudinka,68.22,69.4058,86.1778,41,100,14.5,RU,1655120329
93,columbus,72.81,39.9612,-82.9988,98,40,4.61,US,1655120270
94,hami,100.51,42.8,93.45,3,0,5.68,CN,1655120331
95,hamilton,75.67,39.1834,-84.5333,95,20,4.61,US,1655120130
96,kinsale,62.24,51.7075,-8.5306,58,75,6.91,IE,1655120332
97,jalu,90.77,29.0331,21.5482,25,0,14.74,LY,1655120333
98,yaan,88.9,7.3833,8.5667,54,76,5.79,NG,1655120333
99,naze,76.12,28.3667,129.4833,86,99,19.42,JP,1655120334
100,nalut,89.62,30.3333,10.85,12,0,13.98,LY,1655120335
101,muravlenko,68.5,63.7898,74.523,56,100,5.57,RU,1655120336
102,nanortalik,37.08,60.1432,-45.2371,75,37,24.09,GL,1655119982
103,victoria,85.96,22.2855,114.1577,85,95,15.01,HK,1655120051
104,diplo,95.59,24.4667,69.584,44,17,18.07,PK,1655120338
105,tarakan,81.9,3.3,117.6333,78,20,3.44,ID,1655120339
106,arantangi,93.88,10.1667,78.9833,42,97,10.6,IN,1655120340
107,beringovskiy,41.41,63.05,179.3167,82,94,8.63,RU,1655120341
108,katsuura,64.9,35.1333,140.3,71,100,13.56,JP,1655119881
109,sitka,48.09,57.0531,-135.33,87,100,3.44,US,1655119980
110,tuktoyaktuk,32.54,69.4541,-133.0374,88,100,6.42,CA,1655119886
111,harper,81.54,4.375,-7.7169,63,92,8.88,LR,1655120344
112,sangmelima,78.69,2.9333,11.9833,75,91,2.35,CM,1655120345
113,bhandara,100.8,21.1667,79.65,29,64,12.06,IN,1655120346
114,syracuse,87.39,37.0881,15.2792,57,0,7.7,IT,1655120329
115,vostok,56.93,46.4856,135.8833,66,23,4.45,RU,1655120347
116,puerto cabezas,75.56,14.0351,-83.3888,92,100,6.46,NI,1655120348
117,pevek,33.06,69.7008,170.3133,78,60,1.25,RU,1655120348
118,bonthe,81.43,7.5264,-12.505,75,96,5.79,SL,1655120349
119,hurghada,95.04,27.2574,33.8129,21,0,23.02,EG,1655120319
120,ferrol,82.24,43.4832,-8.2369,75,41,17.83,ES,1655120350
121,marsa matruh,79.0,31.3525,27.2453,69,40,16.11,EG,1655120351
122,danilovka,77.38,50.3557,44.1168,40,17,4.74,RU,1655120352
123,kapoeta,94.19,4.7717,33.5903,26,23,16.02,SS,1655120353
124,vestmannaeyjar,49.19,63.4427,-20.2734,100,100,11.5,IS,1655120354
125,faya,91.92,18.3851,42.4509,16,31,7.07,SA,1655120355
126,anadyr,48.7,64.75,177.4833,53,0,11.18,RU,1655120356
127,yar-sale,53.26,66.8333,70.8333,61,97,21.03,RU,1655120357
128,klaksvik,50.92,62.2266,-6.589,96,100,13.29,FO,1655120357
129,bobrovka,55.13,54.047,61.7455,84,88,13.56,RU,1655120358
130,astana,73.35,51.1801,71.446,43,75,22.37,KZ,1655120354
131,dawson creek,40.64,55.7666,-120.2362,81,100,5.75,CA,1655120359
132,norman wells,41.04,65.282,-126.8329,93,100,10.36,CA,1655119878
133,shalakusha,66.83,62.2247,40.2539,59,100,6.8,RU,1655120361
134,navahrudak,65.77,53.6,25.8333,68,82,2.24,BY,1655120361
135,sur,91.62,22.5667,59.5289,56,0,18.84,OM,1655120362
136,guerrero negro,62.1,27.9769,-114.0611,89,69,9.44,MX,1655120363
137,roura,81.97,4.7263,-52.3274,88,20,4.61,GF,1655120363
138,qaqortoq,40.51,60.7167,-46.0333,65,22,4.83,GL,1655120364
139,krasnoselkup,73.85,65.7,82.4667,46,95,6.29,RU,1655120365
140,grand-lahou,83.12,5.1367,-5.0242,59,99,6.38,CI,1655120366
141,bilma,109.18,18.6853,12.9164,8,68,14.32,NE,1655120366
142,el real de santa maria,73.36,8.109,-77.7325,98,100,1.16,PA,1655120367
143,sioux lookout,57.27,50.1001,-91.917,58,100,5.75,CA,1655120368
